seed,noV,nodeCnt,supplynodes,demandnodes,totalSupply,avgFC,DSSPiterations,DSSPTime,DSSPpsi,DSSPgbestObj,FixScaniterations,FixScantime,FixScanpsi,FixScangbestObj,PSOiterations,PSOtime,PSOpsi,PSOgBestObj,PSODSSPGap,PSObeatDSSP,PSOFSGap,PSObeatFS
18,1956,100,32,17,23639,3970.704397,341,3.714011503,1,1992641.991,1838,20.03214344,0.5,1983249.404,20327,253.4777319,0.31960853,1798465.902,10.80%,1,10.27%,1
19,6768,100,28,16,24373,4026.269681,1061,45.88620856,1,1433080.576,4218,188.4760964,1.25,1408415.992,58128,2751.987524,0.111714902,1329847.847,7.76%,1,5.91%,1
20,8986,100,31,18,27390,4007.055501,835,49.57302284,1,1646993.32,5710,333.3490609,1.25,1477818.298,101108,5908.068333,1.977196296,1461945.931,12.66%,1,1.09%,1
21,1798,100,31,14,20087,4084.671097,175,1.831140367,1,1844118.452,889,9.183096507,1.25,1665255.402,11751,124.1087643,0.149646885,1480780.475,24.54%,1,12.46%,1
22,9496,100,37,18,28040,4007.536943,1327,84.346812,1,1765219.146,7038,447.7176912,0.5,1673934.239,53334,3491.80992,1.031643682,1565199.926,12.78%,1,6.95%,1
23,9172,100,38,17,25725,4001.526571,1814,105.0146715,1,1686012.263,7504,444.9034722,0.75,1618777.703,41950,2563.296705,0.442090727,1494737.863,12.80%,1,8.30%,1
24,7110,100,30,20,27474,4048.009734,1251,59.10410964,1,1732843.415,5975,281.0956519,0.5,1515376.638,72883,3529.25114,1.168230052,1524135.34,13.69%,1,-0.57%,0
25,3856,100,34,18,24329,3993.596977,523,12.26369377,1,1732692.03,2776,64.44343861,1,1732692.03,26646,654.8761498,0.323970208,1659692.42,4.40%,1,4.40%,1
26,7448,100,36,25,38582,4000.145462,1408,69.52288708,1,2167709.723,6884,336.5530204,0.25,1920322.874,65676,3385.839471,0.331287552,1811232.87,19.68%,1,6.02%,1
27,6490,100,38,11,18391,4006.613961,1206,50.0995148,1,1468967.799,3920,166.7185064,0.75,1382437.564,42323,1888.972151,0.74188166,1313605.471,11.83%,1,5.24%,1
28,1294,100,32,17,26279,4040.279809,116,0.861980094,1,2082611.766,912,6.506677661,0.75,1913415.272,11333,85.4337364,0.131601519,1759537.958,18.36%,1,8.75%,1
29,5516,100,32,21,30170,3985.794958,661,23.79564364,1,1738627.485,2910,106.0378776,1,1738627.485,30245,1142.055876,1.221344548,1646273.88,5.61%,1,5.61%,1
30,5428,100,36,15,21572,4018.862291,204,7.56176314,1,1495727.296,1645,56.87153229,0.5,1453456.277,27878,987.227862,0.358717067,1427604.925,4.77%,1,1.81%,1
31,316,100,30,22,33107,3699.203235,35,0.073148158,1,3525725.237,142,0.301724787,0.25,3312158.029,1721,3.923585986,0.197447797,3263441.554,8.04%,1,1.49%,1
32,948,100,24,22,30628,3991.121088,154,0.849446153,1,2317883.848,781,4.378407831,0.25,2304598.472,9173,52.09491682,0.474041399,2168019.475,6.91%,1,6.30%,1
